text,keyword,language
the best them all ,election,English
anand rai you mean only ‘modi bhakti makes one logical’ parda hatao tov haqeeqat dikhaygi’ how true and logical are modi’ claims,election,English
once nirav modi brought back india will spill the beans nexus between him and congress all alleged misdeed wonder kapil sibal running london even dont surprise even congress giving legal aid nirav india,election,English
this farmer poor guy forced talk for money against modiso evident guys cant breath poison against modi day day outmay23 ,election,English
the decision were taken many months back knowing would come fruition weeks before the election then must agree that modi visionary also will inc explain why takes such pathetic decisions inc shud introspect ,election,English
you have audacity taunt modi theatrics your forte tell you why congress govt harassed former space scientist late shree chandrasekhar arrested scientist shree nambi narayanan the isro espionage case now you are proud drdo isro for ,election,English
sir pls highlight how rahul gandhi’ mahagatbandan now appealing terrorists defeat modi ,election,English
there are many like arnab who kiss modis ass for his propaganda,election,English
that why all the opposition came together fight modi heard all these were corrupts according kejriwal shard pawar mamta shila babu,election,English
least now congress admits under modi government economics has booked and india have enough reserve pay for this schemebut question arises this amount meant for poors will taken corrupt congress ministers and their beurocrats,election,English
"
talking the strict laws crack down heavily the corrupt modi says that made law for the fugitives wherever the world they hide their money can confiscated the law taking its course with the extradition fugitives now
via namo app",election,English
still modi should not have shot down that satellite that pandit launched modi now destroying institutions even space,election,English
tmc the ‘trojan horse’ bjp opposition camp surjya kanta mishra both the tmc and the bjp have understanding least 1012 seats bengal those seats the tmc will help the bjp mishra alleged read ,election,English
anyone else laughing what modi saying taking all the credit for action for which laid the foundation was nehru who said india needs develop scientific temperament modi who said everything was developed ancient india ,election,English
modi holding portfolio department space you know this congijourno per your beloved wife ghooose logic computer space science all credit goes nehru was nehru politician scientist,election,English
most honest only one reason support modi,election,English
this joke this joke ,election,English
modi the tallest leader india has ever produced but there are wretched peole with antiindia agenda who oppose modi time for patriots elect the best nationalist leader which certainly modiyoung india will elect modi only,election,English
citizen first question you who gave loan nirav modi vijay malya etc you already bail augusta westland case and your blaming chor you have proof then show janta jumlebaaj nahi chalega ,election,English
think modi mistake fine mistake can resolved think people andhra,election,English
people different lines but modi busy for the safety and security the india ,election,English
sure and have full trust that someone from will consider seriously and take appropriate action god bless him ,election,English
this just start modi just seeding the nation wait when you eat the fruits ,election,English
thanks prime minister narendra modi only modi always modi will vote for chowkidar but not for italian thief ,election,English
also this message couldve been directly delivered the drdoisro why modi needs announce ,election,English
amit shah comparison modi has pulled much grander assembly leaders has not only got top leaders stronger alliance partners – shiv sena akali dal and ljp — but also got two former party presidents – rajnath singh and nitin gadkari – standing support,election,English
all fairness credit goes captain who has the guts something for the country congress got everything the lap yet had wise thinking for the country can’ blame for every dam thing modi can’ blamed for mosquitoes room pls use grey matter,election,English
"bhai are also alliance with pdp 20022008
today providing unconditional support our candidates jammu province should respect their support put questions modi govt failure education economy and others issues nation facing",election,English
has been telling did this and did that and later whenever there face off with they are well trained well equipped well motivated and now this new drama name knows how fool ,election,English
congratulation our issro and drdo scientist for their achivement isme high school drop out anapadh modi kya contribution hai,election,English
every think modi does unifies india defy him his chowkidaar campaign has unified everyone put everyone chaukidaar chor hai their twitter and facebook ,election,English
"loan mallya congress
loan chowksi congress
loan nirav modi congress
and blaming modiji for that getting the chores back",election,English
hey are teasing modihe only gave slogans which never implemented ,election,English
modis dresses cost more than his salary last years not counting his love for imported glasses pens watches which beyond his paycheck get whatsapp messages that pays his electricity bills from his pocket,election,English
engineer can tell you this fir jaaye modi sarkaar ,election,English
dear congressoppositionjoin the party instead criticizing modidid not learn lesson post surgicalbalakot strikes,election,English
did say wont toe the line speculations point secondguessing modi just wont work ,election,English
you listen jumla modi with background bhajan yogi and ramdev wear chawkidari cap,election,English
claiming there ‘modi wave’ this lok sabha polls like 2014 aimim president asaduddin owaisi thursday said ‘nonbjp noncongress’ front likely form the government ,election,English
old gold when narendra modi unable differentiate between pineappl via kabhi fact sahi rakha kro fake news chalani ati hai ,election,English
donia gandhi govt should allocate coal blocks process competitive bidding but chose not and due which public sector enterprises and private firms paid less than they might have otherwise modi revoked that received lac for the same ,election,English
130 people didnt given any authority ask this question prime minister modi damm sure,election,English
one premonsoon pic and other post monsoon not much relatable,election,English
dalals media trying push forward failed political narratives modirahul country hardly affected now dalals country act its own ways ிு்ெ்ி yamuna expressway greater noida ,election,English
ravish fact checked tall claims about his adopted village under modi village adoption scheme another tale utter lies bjp may add misappropriation govt funds most likely ,election,English
modi bjp rss and amit shah are silent killers criminals cheaters looters liars arrogant fools inexperienced tapori terrorist deshdrohi antinational and antisocial peoples the world ,election,English
you can call modi whatever but hes loved india and the world hes terrorist even ,election,English
observe closely all the jokers opposing have lost their mental balance their eagerness belittle him ,election,English
everyone wants pitch themselves against modi elleviate their status,election,English
"
modi give employment opportunities suppliers enjoyer ",election,English
"india2019
mrmodi now showing star war space movie his election campaign after his failure movie the border all the indian people must defeat the international fraud mob bjp throughout the country with lose their deposit save india ",election,English
congress spokesperson surajwala should shut his mouth always insulting our modihe should put behind the bars,election,English
narendra modi deliver important message follow live updates ,election,English
"manav show your identity atleast social media
dont use fake pictures show hate towards modi",election,English
toh baaki kya openly slang kar rae hain you guys can never see positivity things that modi govt say favour india indians jealous ppl,election,English
worries bro gujjus have seen modi administrator more than anyone india and now its our time pay back for his service 2626 jai ,election,English
ahead the upcoming lok sabha polls the prime minister also expressed his confidence and said that people will give him opportunity serve the country again ,election,English
without paying toll passed the toll gate that shows your corrupt mindset first you put efforts reform your husband and yourself your futile efforts oppose modi will further expose your family,election,English
"and also came know that modi followers are known bhakts
pappu followers piddis kejribawal followers aaptards",election,English
nothing else love modi thats ,election,English
the non political type most school friends are like that they are more concerned about career and stuff but have modi bias like many other educated bengalis our generation aantlamo ektu shobai korenahole bangali howa jay,election,English
hindi there saying sanya bhai kotwal phir dar kahen father bjp unit president why son should afraid following modi style working dont any work for yrs control media get widest publicity win election son home work but cheating exam ,election,English
its good that has agreed contest ticket from down south high time our national leaders stood from seats outside the hindi belt modi from assam gadkari from andhra that should the way ahead ,election,English
"dear dinesh singh narendra modi bjp never committed deposit the said amount 1500000 through the speeches was media stunt that time
for 72000 you can sure",election,English
raj next time you feel like getting irritated hearing the praises modi try control your emotions and facial expression body language clearly indicates how much personal grudges you have against modi wont let your patrons congress win ,election,English
today they are flitting between this vanity project one man credit should scientists not modi but credit should scientists and nehru mms this election gimmick mehmood said ghoda bolo chatur bolo,election,English
far chaiwala concerned did you hear when was the gujarat when was declared the candidate they dug out background prime minister narendra modi tune watch here ,election,English
and then theres someone who has faced zero press conferences the past five years and has the audacity address the nation and talking about antisat missile like its his own achievement ,election,English
you even understand whatever you say each statement more moronic than the previous one had your khandan instead looting paid attention would not such sorry stage and for modi fill the hole will take years may more only,election,English
modi not into any corruption scamhis family doesnt have swiss accounthe doesnt have billons his bank account and thousand acres landask rahul first donate all such lame remark rahul followeryou people have gone berserk like rahulyour aaka,election,English
everyone serving the society chowkidar modi congress being blown pieces ,election,English
"very excited give first vote modi abki baar baar fir modi government
jai hind",election,English
kya aap bhi chowkidar show your support our narendra modi wearing main bhii chowkidar tshirt ,election,English
jobs are terrible metric judge individual startups their overall impact the economy far better metric the rest his shit already implemented modi govt isnt proposing anything thats not already done ,election,English
continuously criticise modi bjp for taking the country forwardif congress had done itor some muslim countryyou’ thumping your chest right nowwhat sad pathetic man you are,election,English
"absolutely true
that moron must grinning from ear ear ignoring the fact that modi holding the same post which his papa grand and great grand held some time",election,English
modi giyo may 2019 soch badle chowkidar badle soch badle badle soch badle chor badle soch badle chai wala badle jai hind jai congress,election,English
modi waived off lakh worth loans businessmen including nirav modi lalit modi vijay mallya mehul choksi but reluctant support our farmers ,election,English
that you feel better about the shitty flight ,election,English
election watch priyanka gandhi attacks modi faizabad alleges has ignored own constituency ,election,English
modi this time pleasedo one thing after election just forcefully send them pappu family italy they are anyhow italian citizens are tired see these looters and cheaters they rogue indialet cong will shape without them ,election,English
first time agree mamta banerjees comment rahul gandhi that kid absolutely right mamta congress toy hand kid playing with party and clapping very good keep rahul gandhi this time rahul mamta only narendra modi jai hind ,election,English
why announcing twitter hate modi then one asking love modi keep your hates inside dont spoil our country with your hate indians know how modi important,election,English
hatred level its peak she doesnt thank modi who has shown his will for conducting such activity which his counter part couldnt,election,English
never stopped teasing middle class not necessary that get pappu may get some other idiot too but next time when modi someone else get power they will know the consequences ignoring their voter base ,election,English
people india are fed the incompetency modi govt their blatant misuse power rampant corruption misgovernance and overt lies have damaged country its time for congress party rahul gandhi lead the country out this turmoil ,election,English
nobody can say cannot anything has never been elected the first place coming the puppet cbn was the puppet modi after 2014 elections cbn agreed for special package only becoz cbn have cases him,election,English
how can one write book dharma and then have voted for modi,election,English
sir before some year akhilesh yadav had told that modi model dividing india but now modi model developing india has become oppositions are now huge trouble,election,English
colleges get opened ppl who study and join and graduate benefit modi needs all problems yrs right,election,English
new series coming vote for modi only for non andhbhaktas trolls and chowkidars all andhbhaktas trolls and chowkidars are free fire abuse allegations threats and what not may this that but not candidate party worker andhbhakta,election,English
called overnight fame must say shame due his anti national stand and nothing else this way can also attribute such notorious fame dawood ibrahim robert vadra nirav modi umar khalid shehla rashid jignesh etc etc,election,English
good keep getting scared btw all peoples futuristic voice you all dont know tomorrow modi tells you all what and you bunch are discussing what going happen after month who are kidding,election,English
werent you talking about every body talikng about rahul gandhi’ ability grab headlines with minimum income watch and learn modi got the whole country listening the important message seconds thats modi’ power watch and learn,election,English
lok sabha elections 2019 live rafale deal got delayed because they wanted commission says modi ,election,English
majority india supported narendra modi 2014 and assembly elections thereafter anyone goes logic vote against party then there would never had been any winner any elections,election,English
"I have many VCs reaching out to me, didn't really consider investment as of yet but was always curious what the best way to evaluate them would be.

🧵 Asked ChatGPT, gave me these 👇

Thoughts? Any extra to add?

#vc #VentureCapital #ChatGPT #GPT4 #startups #GenerativeAI",AI,English
"@josephsirosh, wanted to extend a personal invite to our #GenerativeAI launch event where I'll share how #AI is transforming the world's top brands. Would love to hear your take! More info here: https://t.co/BR34gArj0q",AI,English
"Breaking, Adobe is entering the generative AI game with Firefly. 

https://t.co/TsMqMLiSzZ 

🧵 Let’s see some early examples #GenerativeAI https://t.co/svlel9kmBD",AI,English
"1. #GenerativeAI is truly an amazing technology that has the potential to revolutionize many industries. I, however, am concerned that a #DeadWeb is coming where most of the content online is generated by AI, and the web becomes inauthenticity and homogenous. https://t.co/GBT9Qm1uyK",AI,English
"@Mar3_AI #MAR3AI #GenerativeAI done..🔥 🚀

@LightofDayz 
@Bookworm_24 @Krrishna_08",AI,English
"With so much hype around #generativeai and #artificialintelligence in general, how can #digitalmarketers keep up? AdAge is compiling a round up of the latest launches and news. A good page to bookmark.
https://t.co/dUpQvhfeVB",AI,English
"@sirtrollingtonn Here are the images you requested, courtesy of #StableDiffusion.
Please retweet &amp; ♥️ if you enjoyed these images. #GenerativeAI, #GenerativeArt, #AIArt, #PromptSharing https://t.co/j5ap17FwAf",AI,English
"What problems might #generativeAI pose for the #privacy of the average internet user? The answer, according to experts, is largely a matter of how these bots are trained and how much we plan to interact with them. https://t.co/sihdk42bkZ",AI,English
"""How Americans view emerging uses of #AI""

=&gt; 31% see #GenerativeAI for images as a major advance

=&gt; 59% see predicting proteins as a major advance

=&gt; 16% see Conversational AI (#ChatGPT) as a major advance

https://t.co/CMnL0bmKru https://t.co/ShvQDkzAzu",AI,English
Enterprise companies and generative AI: Just looking? - TechCrunch https://t.co/cDaZKer6vY #GAI #GenerativeAI,AI,English
"Felix is a orange house cat who has been studying magic for many years to pass an upcoming exam. He is determined and wi...
https://t.co/WEkHhMj8bt

#summonworlds #generativeai #dnd #dungeonsanddragons #dungeons_and_dragons https://t.co/5sdn5Giv5s",AI,English
"'He Would Still Be Here': Man Dies by Suicide

After Talking with #AI #Chatbot, Widow Says

https://t.co/YKBU2ZgycE #fintech #ArtificialIntelligence #MachineLearning #DeepLearning #GenerativeAI #regulation @chloexiang @VICE @Paula_Piccard @ipfconline1 @Julez_Norton @kalydeoo…",AI,English
"Here is what #AI thinks of our Tweets! Thank you for the #generativeAI Twitter profile and our original ""Salvador Dali"", @gpttwitbot.✌️ https://t.co/VuRnMjiY33",AI,English
@sundarpichai tweeting the video we created using Phenaki! #googleai #phenaki #generativeart #GenerativeAI,AI,English
"Post of the Day: Christian Schloegel , Chief Digital Officer of our Investor Körber AG shares his view how #Generativeai will change the game for many industries.

If you wonder how to explore the impact and opportunities for your…https://t.co/OP0OQ7AlCU https://t.co/nVqBAfoJzI",AI,English
"Canva targets business users with generative AI-powered tools https://t.co/XhZ6HPrBly #AI #AI,MLAndDeepLearning #canva #GenerativeAI",AI,English
"In case you missed it, ChatGPT was banned in Italy over privacy concerns, making it the first Western country to block this advanced #AI technology. https://t.co/lxEkYaNVIs

#DataPrivacy #GenerativeAI https://t.co/Sjqcy0FVli",AI,English
"AI can eliminate mundane work like sketching backgrounds for portrait photos, while #code-generating #AI can reduce the amount of repetitive #coding a #programmer has to finish. 

#GenerativeAI is already supercharging the workflows of the white-collar workforce.

#ChatGPT https://t.co/8zkMNFI8zB",AI,English
"AutoGPT is an experimental, open-source Python application that uses GPT-4 to act autonomously. This means that Auto-GPT can perform a task with little human intervention, and can self-prompt...🚀

#TheDigitalCoach #GenerativeAI #AutoGPT",AI,English
"Exciting times ahead for generative #AI enthusiasts! In 2022, major players like Meta, Microsoft, and Google made significant advancements in AI. As we look forward, discover the future of Generative AI in 2023: https://t.co/ItBzsddoYz 

#USAII  #GenerativeAI #AI #ChatGPT #gpt4 https://t.co/lWAjmF76qL",AI,English
Exciting news in A.I. - ChatGPT is helping redefine the scope of work with Generative AI technology. #GenerativeAI https://t.co/V2FdO9wEVJ,AI,English
"RT via ipfconline1 
RT @tewoz: Les dérives possibles de l'IA générative...
Super article ! 👋@hebiflux @nincoroby @EnjoyDigitAll @Dassoniou 

https://t.co/UxS4bPYAH7

 #generativeAI 

#DataScience 
#ArtificialIntelligence #MachineLearning #DigitalTransformation 
#IoT",AI,English
"It's the #GenerativeAI arms race and @AI21Labs has just released its latest model, Jurassic-2. @ricmac spoke to co-founder @origoshen about how its large language model strategy differs from OpenAI and Cohere. https://t.co/cm3zvJkmJr",AI,English
Exciting to see a leading supplier of images embrace generative AI with ChatGPT. A reminder that staying ahead of the curve can be the difference between success and being left behind #generativeAI #ChatGPT https://t.co/T7cqFKwvlJ,AI,English
"Kognitos @Kognitos_Inc Raises $6.75 Million in Seed Round

#AI #GenerativeAI for #BusinessAutomation #seedround for the expansion of its cloud-based Koncierge platform #funding
https://t.co/DNQ0SvbuLt",AI,English
"Cerebral Valley AI |  I just subscribed to Newcomer https://t.co/RNBpUAQxGb 
#GenerativeAI #artificalintelligence #siliconvalley #CerebralValley",AI,English
"Build #GenerativeAI apps without writing code with https://t.co/eHURvnGMPD 

For example https://t.co/ItuXyngmVw is an app that generates a story with illustration",AI,English
Disruptive or flawed innovation? #generativeAI #realestate https://t.co/er7F6GRGMw https://t.co/ht77BBJDOA,AI,English
"@DaCryptoCom $KIT, with #GenerativeAI 🤖",AI,English
#Microsoft 365 Copilot is what I am really looking forward to using to leverage #GenerativeAI https://t.co/jxFMFxhSkp,AI,English
"From #generativeAI applications in #LLMs to imaging, see the latest implementations of AI in biology, medical devices, and imaging to unlock efficiencies and accelerate time to market. March 20-23, 2023. Register free. https://t.co/WJDext7eAJ https://t.co/vrPMQtdE2G",AI,English
"Üretken yapay zeka (#generativeAI) ile yapılmış mimari tasarımları gördükten sonra @Sequoia’nın dizayn partneri James @Buckhouse’ın AI kısaltmasına getirdiği yeni tanıma denk geldim: 

“Artırılmış hayal gücü” #AugmentedImagination💯 #AI",AI,English
"For customers to innovate with #AI, we believe they also need the best-supporting tech—that’s why we're working with @nvidia to help companies accelerate #generativeAI and other modern AI workloads in a cost-effective, scalable, and sustainable way ↓ https://t.co/OkdHO1GVNU",AI,English
"Demon Razal

https://t.co/sRELLYD2HF 출처 @opensea 
#collection #crypto #BitcoinCash #digitalart #collectibles #NFTs #girlstribe #nft #nftart #GenerativeAI #bitcoin #art #Artchivist #generativeart #nonfungible #arts",AI,English
"As #ChatGPT  and other #GenerativeAI #ArtificialIntelligence programs infiltrate #workplaces, white-collar jobs are transforming the fastest https://t.co/EhNzYLgvZy a través de @WSJ",AI,English
"@edithbrou je travail sur sur des sneakers grâce à l'IA comme outils de co-création. 
#GenerativeAI https://t.co/6MN9nQPyml",AI,English
"How generative #AI can hurt #cloud operations

https://t.co/I1oe03waWw

@infoworld @DavidLinthicum #tech #IT #cloudcomputing #digital #innovation #generativeAI #OpenAI #ChatGPT #ArtificialIntelligence #leadership #leaders #CIO #CTO #CDO #cloudops #ITops https://t.co/TIybC8ioRW",AI,English
"Remember this controversy from last summer? 

It was our heads-up for the #GenerativeAI cambrian explosion 3 months later in November 2022.

What other signals are we missing today? For:

AI
Blockchain
Quantum
etc...?",AI,English
"PC Mag: A recent survey asked people to predict how they’ll find internet-based information in the future, and AI chatbots bested search engines by a wide margin.
https://t.co/yGWS03eoZc #generativeAI",AI,English
Amazon Web Services (AWS) #GenerativeAI #AI #ML Immersion Day 👍 #InventAndSimplify #Munich #Berlin https://t.co/fmb4pxvioQ,AI,English
"Winter in Paradise Island

#AI #GenerativeAI #SuperHeroine #WonderWoman #ParadiseIsland 
https://t.co/OMcCwpL2Ex https://t.co/zPSC1pH0II",AI,English
"Register for our top #GTC23 conversational AI sessions to learn about the latest #speechAI, #NLP, and #LLM advancements including how #generativeAI is transforming every industry. Register now: https://t.co/i91dkLgXR3 https://t.co/do5VVzwnwi",AI,English
"NVIDIA and @googlecloud are teaming up to integrate NVIDIA's new inference platform for #generativeAI into Google Cloud's Vertex AI service, making the just-announced NVIDIA L4 Tensor Core GPU available to customers. #GTC23 https://t.co/sQHzHVYDMJ",AI,English
"The dark side of #generativeai and #chatgpt-type platforms, (further) democratization of trolling and misinformation... https://t.co/WYrYOPyUN7",AI,English
"1/ 🚀 Memoji on Steroids: This AI Model Can Reconstruct 3D Avatars from Videos
Quick Read: https://t.co/DCfqopETGc
#ArtificialIntelligence #GenerativeAI https://t.co/kvJyLe8jJf",AI,English
"Could future war crimes be blamed on artificial intelligence, if we don't have a proper debate on the ethics of developing &amp; using AI? 
Been talking to @malfletcher on @TWRuk... https://t.co/Z7RZnUNKdE

#GenerativeAI #ChatGPT #ethics #AI",AI,English
